,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,Question: Qual é a função principal da fotossíntese na produção de oxigênio das plantas?,"[' mA e placa eletr ônica que sinaliza e \nemit e um sinal digital que pode ser conec tado , por exemplo , a um \nCLP.\nDispositivo L ocalizador de falha BT 0074\nDispositivo L ocalizador de falha BT 0078']",placa eletrônica,simple,"[{'page_label': '5', 'file_name': 'catalogo-sistema-it-medico-1.pdf', 'file_path': 'c:\\Users\\jmess\\OneDrive\\Documentos\\GitHub\\rag_eval\\data\\catalogo-sistema-it-medico-1.pdf', 'file_type': 'application/pdf', 'file_size': 3315455, 'creation_date': '2024-10-09', 'last_modified_date': '2024-10-09'}]",True
1,Qual é a principal função da fotossíntese em relação à produção de oxigênio?,"[' mA e placa eletr ônica que sinaliza e \nemit e um sinal digital que pode ser conec tado , por exemplo , a um \nCLP.\nDispositivo L ocalizador de falha BT 0074\nDispositivo L ocalizador de falha BT 0078']",Omelesão,simple,"[{'page_label': '5', 'file_name': 'catalogo-sistema-it-medico-1.pdf', 'file_path': 'c:\\Users\\jmess\\OneDrive\\Documentos\\GitHub\\rag_eval\\data\\catalogo-sistema-it-medico-1.pdf', 'file_type': 'application/pdf', 'file_size': 3315455, 'creation_date': '2024-10-09', 'last_modified_date': '2024-10-09'}]",True
2,Qual é a função da fotossíntese em plantas?,"[' mA e placa eletr ônica que sinaliza e \nemit e um sinal digital que pode ser conec tado , por exemplo , a um \nCLP.\nDispositivo L ocalizador de falha BT 0074\nDispositivo L ocalizador de falha BT 0078']",Planta,simple,"[{'page_label': '5', 'file_name': 'catalogo-sistema-it-medico-1.pdf', 'file_path': 'c:\\Users\\jmess\\OneDrive\\Documentos\\GitHub\\rag_eval\\data\\catalogo-sistema-it-medico-1.pdf', 'file_type': 'application/pdf', 'file_size': 3315455, 'creation_date': '2024-10-09', 'last_modified_date': '2024-10-09'}]",True
3,Qual é o papel da fotossíntese em plantas?,"[' mA e placa eletr ônica que sinaliza e \nemit e um sinal digital que pode ser conec tado , por exemplo , a um \nCLP.\nDispositivo L ocalizador de falha BT 0074\nDispositivo L ocalizador de falha BT 0078']",As atividades humanas contribuem para a mudança climática,simple,"[{'page_label': '5', 'file_name': 'catalogo-sistema-it-medico-1.pdf', 'file_path': 'c:\\Users\\jmess\\OneDrive\\Documentos\\GitHub\\rag_eval\\data\\catalogo-sistema-it-medico-1.pdf', 'file_type': 'application/pdf', 'file_size': 3315455, 'creation_date': '2024-10-09', 'last_modified_date': '2024-10-09'}]",True
4,"Quais são os principais benefícios da fotossíntese em plantas, considerando a relação com as revoluções históricas?","[' mA e placa eletr ônica que sinaliza e \nemit e um sinal digital que pode ser conec tado , por exemplo , a um \nCLP.\nDispositivo L ocalizador de falha BT 0074\nDispositivo L ocalizador de falha BT 0078']",As atividades humanas contribuem para a mudança climática principalmente por meio da emissão de gases de efeito estufa pela queima de combustíveis fósseis.,simple,"[{'page_label': '5', 'file_name': 'catalogo-sistema-it-medico-1.pdf', 'file_path': 'c:\\Users\\jmess\\OneDrive\\Documentos\\GitHub\\rag_eval\\data\\catalogo-sistema-it-medico-1.pdf', 'file_type': 'application/pdf', 'file_size': 3315455, 'creation_date': '2024-10-09', 'last_modified_date': '2024-10-09'}]",True
5,Qual é a função primária do sistema de falhas de um computador?,"[' mA e placa eletr ônica que sinaliza e \nemit e um sinal digital que pode ser conec tado , por exemplo , a um \nCLP.\nDispositivo L ocalizador de falha BT 0074\nDispositivo L ocalizador de falha BT 0078']",nan,simple,"[{'page_label': '5', 'file_name': 'catalogo-sistema-it-medico-1.pdf', 'file_path': 'c:\\Users\\jmess\\OneDrive\\Documentos\\GitHub\\rag_eval\\data\\catalogo-sistema-it-medico-1.pdf', 'file_type': 'application/pdf', 'file_size': 3315455, 'creation_date': '2024-10-09', 'last_modified_date': '2024-10-09'}]",True
6,Qual é o objetivo da fotossíntese em plantas?,"[' mA e placa eletr ônica que sinaliza e \nemit e um sinal digital que pode ser conec tado , por exemplo , a um \nCLP.\nDispositivo L ocalizador de falha BT 0074\nDispositivo L ocalizador de falha BT 0078']",A fotossíntese é o processo pelo qual as plantas possuem a capacidade de convertir a energia solar em energia química,simple,"[{'page_label': '5', 'file_name': 'catalogo-sistema-it-medico-1.pdf', 'file_path': 'c:\\Users\\jmess\\OneDrive\\Documentos\\GitHub\\rag_eval\\data\\catalogo-sistema-it-medico-1.pdf', 'file_type': 'application/pdf', 'file_size': 3315455, 'creation_date': '2024-10-09', 'last_modified_date': '2024-10-09'}]",True
7,Qual é a função principal da fotossíntese no crescimento das plantas?,"[' mA e placa eletr ônica que sinaliza e \nemit e um sinal digital que pode ser conec tado , por exemplo , a um \nCLP.\nDispositivo L ocalizador de falha BT 0074\nDispositivo L ocalizador de falha BT 0078']",Planta,simple,"[{'page_label': '5', 'file_name': 'catalogo-sistema-it-medico-1.pdf', 'file_path': 'c:\\Users\\jmess\\OneDrive\\Documentos\\GitHub\\rag_eval\\data\\catalogo-sistema-it-medico-1.pdf', 'file_type': 'application/pdf', 'file_size': 3315455, 'creation_date': '2024-10-09', 'last_modified_date': '2024-10-09'}]",True
8,Qual é o objetivo principal da fotossíntese em plantas?,"[' mA e placa eletr ônica que sinaliza e \nemit e um sinal digital que pode ser conec tado , por exemplo , a um \nCLP.\nDispositivo L ocalizador de falha BT 0074\nDispositivo L ocalizador de falha BT 0078']",As atividades humanas contribuem para a mudança climática,simple,"[{'page_label': '5', 'file_name': 'catalogo-sistema-it-medico-1.pdf', 'file_path': 'c:\\Users\\jmess\\OneDrive\\Documentos\\GitHub\\rag_eval\\data\\catalogo-sistema-it-medico-1.pdf', 'file_type': 'application/pdf', 'file_size': 3315455, 'creation_date': '2024-10-09', 'last_modified_date': '2024-10-09'}]",True
9,Qual é o papel da fotossíntese no crescimento das plantas?,"[' mA e placa eletr ônica que sinaliza e \nemit e um sinal digital que pode ser conec tado , por exemplo , a um \nCLP.\nDispositivo L ocalizador de falha BT 0074\nDispositivo L ocalizador de falha BT 0078']",Fotossintese,simple,"[{'page_label': '5', 'file_name': 'catalogo-sistema-it-medico-1.pdf', 'file_path': 'c:\\Users\\jmess\\OneDrive\\Documentos\\GitHub\\rag_eval\\data\\catalogo-sistema-it-medico-1.pdf', 'file_type': 'application/pdf', 'file_size': 3315455, 'creation_date': '2024-10-09', 'last_modified_date': '2024-10-09'}]",True
