,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,Quais são as vantagens de contar com suporte técnico 24 horas da CM Comandos?,"['Inovação, qualidade, tecnologia\ne confiabilidade. Marcas das\nsoluções CM Comandos Lineares\nCom mais de 40 anos de atuação, a CM Comandos é hoje uma das \nmaiores fabricantes de No-Breaks da América Latina. Além disso, é líder\nabsoluta em soluções para o mercado corporativo. Certiﬁ  cada pela norma ISO-900:2015, a CM Comandos \nressalta o seu compromisso com a excelência dos seus produtos e a total satisfação dos seus clientes.A EMPRESA\nOs  No-Breaks  da  CM  Comandos  são  indicados  para aplicações de  \nmissão crítica, nas mais variadas corporações, oferecendo proteção \ncontra distúrbios de energia elétrica, tais como: cortes, micro-cortes, ruídos, distorção harmônica, picos, \ntransientes, sub e sobretensão e variação de frequência.APLICAÇÕES\nOs equipamentos da CM Comandos operam com maior precisão, agre-\ngam maior número de funções e são mais seguros. Características\nque geram alta conﬁ  abilidade e produtividade nas mais variadas aplicações, minimizam falhas e,\nconsequentemente, custos de manutenção. Em resumo, ser um cliente CM Comandos signiﬁ  ca ter o \nretorno do capital investido e garantias que só uma empresa com amplo suporte técnico pode oferecer.BENEFÍCIOS\nAo escolher a marca CM Comandos Lineares você conta com o melhor supor-\nte técnico de pré e pós-venda da empresa que se consolidou ao longo  des-\ntes 40 anos como líder de mercado. Instrumentação de ponta, proﬁ  ssionais\naltamente qualiﬁ  cados, disponibilidade de atendimento 24 horas, sete dias da semana, call \ncenter e processos certiﬁ  cados que asseguram a excelência dos nossos serviços de suporte.SUPORTE\nTÉCNICO\n']","As vantagens de contar com suporte técnico 24 horas da CM Comandos incluem a disponibilidade de atendimento contínuo, garantindo que os clientes tenham acesso a assistência sempre que necessário. Isso é parte do compromisso da empresa em oferecer um suporte técnico de alta qualidade, consolidado ao longo de 40 anos como líder de mercado.",simple,"[{'page_label': '2', 'file_name': 'composition-modular-jun-24.pdf', 'file_path': 'c:\\Users\\jmess\\OneDrive\\Documentos\\GitHub\\rag_eval\\data\\composition-modular-jun-24.pdf', 'file_type': 'application/pdf', 'file_size': 4499853, 'creation_date': '2024-10-09', 'last_modified_date': '2024-10-09'}]",True
1,Qual é a função do software IP Power em relação ao gerenciamento de servidores?,"['ser , monit orar \no status e en viar aler tas por e -mail . \nO sof tware IP P ower é uma f erramenta \nde ger enciament o  Windows \nApplication e a v ersão Client é \nespecífica para  aut omatizar o \nshut down de ser vidor es, podendo \ndesligar aut omática e simultaneament e \nvários ser vidor es e estações . \nO Adaptador Ar mModbus per mite \nintegrar o No -Break, via uma por ta \nRS485, a Sist emas de A utomação \nPredial .DISPLAY TFT 4,3 ‘’ \nTOUCH SCREEN\nCOMANDO POR TOQUE\n']","O software IP Power é uma ferramenta de gerenciamento que automatiza o desligamento de servidores, podendo desligar automática e simultaneamente vários servidores e estações.",simple,"[{'page_label': '4', 'file_name': 'conception-s1.pdf', 'file_path': 'c:\\Users\\jmess\\OneDrive\\Documentos\\GitHub\\rag_eval\\data\\conception-s1.pdf', 'file_type': 'application/pdf', 'file_size': 14547547, 'creation_date': '2024-10-09', 'last_modified_date': '2024-10-09'}]",True
2,Qual é a importância da comunicação entre os No Breaks no sistema Paralelo Multi Ativo?,"['S I S T E M A PA R A L E L O M U LT I AT I V O ( E X C L U S I V O C M C O M A N D O S )\nA CM Comandos Lineares desenvolveu um sistema inovador e pioneiro no mundo de paralelismo entre No Breaks. O sistema Paralelo \nMulti Ativo permite a expansão do sistema, de acordo com sua demanda de consumo, podendo paralelar quantas unidades forem \nnecessárias para atender sua demanda, elevando a capacidade do sistema e a confiabilidade de sua aplicação.\nP O S S I B I L I D A D E D E S O M A T Ó R I A D E  P O T Ê N C I A S\nPermite a ligação para somatória de potência, utilizando dois ou mais No \nBreaks para atingir a demanda da carga total.\nQuando utilizado para somatória de potência, possibilita a ligação de \nNo Breaks com potências diferentes. Quando a ligação for feita com No \nBreaks de potências diferentes, a carga será distribuída \nproporcionalmente. Permite a ligação em paralelo redundante N + 1,  N + 2, N + 3 … N+X,  \npossibilitando o desligamento de uma ou mais unidades mantendo a \ncarga ativa.L I G A Ç Ã O E M P A R A L E L O R E D U N D A N T E\nA comunicação entre os No Breaks consiste no barramento de \ncomunicação comum, por onde transitam informações contendo \nnível de carga, sincronismo e a condição do by pass.C O M U N I C A Ç Ã O E N T R E O S N O B R E A K STodos os No Breaks são autônomos, operam de forma \nindependente no sistema e possuem controle individual.N Ã O E X I S T E N O B R E A K M E S T R E O U E S C R A V OPodem ser paraleladas quantas unidades forem necessárias, \npossibilitando expansão do sistema, de acordo com a demanda de \nconsumo.Q U A N T I D A D E I L I M I T A D A P A R A P A R A L E L I S M O\nM A N U T E N Ç Ã O D O N O B R E A K\nPermite a inserção ou retirada de um No Break no sistema, sem a \nnecessidade de parada.Rede Elétrica\nde Entrada\nSaídaNo Break 1\n Potência de \n30 kVANo Break 2\nPotência de \n10 kVANo Break 3\nPotência de \n20 kVA\nCarga fornecida pelo sistema = 150 kVANo Break 4\nPotência de \n30 kVANo Break 5\nPotência de \n20 kVANo Break 6\nPotência de \n40 kVA\nINTERFACES DE \nGERENCIAMENTO   \nREMOTO\nSão compostas por diversas ferramentas. O \nAdaptador SNMP NetMate permite\ngerenciar remotamente o No Break via a \nInternet através de um web browser,\nmonitorar o status e enviar alertas por e-mail. \nO software IP Power é uma ferramenta de \ngerenciamento  Windows Application e a \nversão Client é específica para  automatizar o \nshutdown de servidores, podendo desligar \nautomática e simultaneamente vários\ns e r v i d o r e s  e  e s']","A comunicação entre os No Breaks no sistema Paralelo Multi Ativo é importante porque consiste no barramento de comunicação comum, onde transitam informações sobre nível de carga, sincronismo e a condição do by pass. Isso permite que todos os No Breaks operem de forma coordenada e eficiente, garantindo a confiabilidade do sistema.",simple,"[{'page_label': '4', 'file_name': 'catalogo-innovation-s1-pdf-1.pdf', 'file_path': 'c:\\Users\\jmess\\OneDrive\\Documentos\\GitHub\\rag_eval\\data\\catalogo-innovation-s1-pdf-1.pdf', 'file_type': 'application/pdf', 'file_size': 4728667, 'creation_date': '2024-10-09', 'last_modified_date': '2024-10-09'}]",True
3,Qual é a função da corrente contínua no processo de conversão de energia elétrica?,"['Retificador\nConverte a ener gia da r ede elétrica da \nconcessionária ou do g rupo gerador em \ncorrente contínua, corrig indo ou eliminando \ndistúr bios da entrada do sistema .Inversor\nConverte a corr ente contínua do r etificador \nou das baterias em corr ente alternada de \nsaída, com f orma de onda senoidal pura, \nlivre de distúr bios .Bypass Estático *\nSistema de pr oteção que , em caso de pr oblemas , \ntransf ere automaticamente a car ga para um cir cuito \nalternativo , sem interrupção no f ornecimento de ener gia. \nSaída Rede Elétric a\nde Entr ada\nCorr ente Alternada de Entrada Corrente Alternada de Saída Corr ente Contínua Corrente Alternada Bypass Estático \nOSD  N LI A NM EO AC R EM SCISO\n90012015\nAv. Eng . Alber to de Zagottis , 760 - 04675-085 -  São P aulo - SP\nTel.: (11) 5696-5000  \nwww.cmcomandos .com.brESTABILIZADOR ELETRÔNIC O PERFECTION MI S2\nSaída\nTensão:  \n• 110 V ( standar d )\n    • 220 V ( standar d )\n    • 110 +110 V ( standar d )\nPotências Disponív eis:  \n   \n    •2 kV A \n  \n    •3 kV A \n   \n    •5 kV A \n   \n    •7,5 kV A\n   \n    •10 kV A\n   \n    •15 kV A \nRegulação Estática:   ±1% nominal\nTempo de Resposta:  0\n Freqüência:  50 ou 60 H z \nVariação de F reqüência:  ±0,05%\nConfigur ação:  monofásica   F + N + T ou F + F + T\nForma de Onda:   senoidal\nDistorção Harmônica THD:  inferior a 1%, total\nFator de Crista:  3:1\nFator de P otência:  0,7\nCapacidade de Sobr ecar ga:  125% durante25s\nProteção de C urto-Cir cuito:   Simn   \n    \nn   \n \nn   \nn   \nn  \nn    \nn   \nn   \nn   \nn   \nn   \nn   \nn   \nn   Corrente de C urto-Cir cuito:   2 x I nominalProteções Elétricas\nSub e Sobr e Tensão de Entrada e Saída \nSobr ecar ga e C urto-Circuito\nSobr e Temperaturan   \nn   \nn   Bypass Estátic o*\nAcionamento:  automático contr olado pelo DSP\nTempo de Transf erência:  0 milissegundos ( nulo)\nRetr ansf erência ao Modo Normal:  automátican   \nn   \nn  Entr ada\nTensão:  \n  \n    •Biv olt 110 e 220 V ( automático ) 2 e 3kV A\n  \n    •220V ( standar d ) 5 a 15 kV A\n  \n    •110 V ( Opicional )\n \nVariação A dmissív el: ± 20% da tensão nominal\nFreqüência:  50 ou 60 H z \n \nVariação de F']",A resposta à pergunta dada não está presente no contexto,simple,"[{'page_label': '2', 'file_name': 'catalogo-perfection-mi-s2-1.pdf', 'file_path': 'c:\\Users\\jmess\\OneDrive\\Documentos\\GitHub\\rag_eval\\data\\catalogo-perfection-mi-s2-1.pdf', 'file_type': 'application/pdf', 'file_size': 1722179, 'creation_date': '2024-10-09', 'last_modified_date': '2024-10-09'}]",True
4,Qual é a função do Adaptador SNMP no gerenciamento remoto do No-Break?,"['REGISTRO PERMANENTE\nDE E VENT OSCORREÇÃO DO  F ATOR DE*POTÊNCIA\nO DSP ar maz ena os ev entos em sua memór ia EEPR OM. \nFunciona como uma “caixa-pr eta”, sendo possív el rastr ear os \nvalor es das medições e a posição das cha ves int ernas, \ndenunciando ev entuais er ros de operação .Conhecido pela sigla PFC - P ower Factor Correction, est e \nsistema per mite que o F ator de P otência de Entrada do \nNo-Break seja 0.99 - cor rigindo os ef eitos das car gas não \nlinear es e har mônicas conec tadas na saída do No -Break.-INTERF ACES DE GERENCIAMENT O\nREMO TO\nSão compostas por div ersas f erramentas . O A daptador SNMP NetM ate \npermite ger enciar r emotament e o No -Break via a I nternet atra vés de \num w eb br owser , monit orar o status e en viar aler tas por e -mail . \nO sof tware IP P ower é uma f erramenta de ger enciament o  Windows \nApplication e a v ersão Client é específica para  aut omatizar o shut down \nde ser vidor es, podendo desligar aut omática e simultaneament e vár ios \nservidor es e estações . \nO Adaptador Ar mModbus per mite int egrar o No -Break, via um\nRS485, a Sist emas de A utomação P redial atra vés do pr otocolo M odbus .a por ta INTERF ACES  DE  SHUTDO WN  \nE GERENCIAMENT O  REMO TO\nPorta M icroprocessada DB9A   Inter face de Ger enciamento Remoto \n  \nB   Adaptador SNMP\n     \nMultisser vidor es\nMultiplataf ormas\nMulti-S.O .C   Client Shutdown\nD  Estação Remota\n     Sof tware com \n     conexão à I nter net\nRede Ethernet RJ45']","O Adaptador SNMP permite gerenciar remotamente o No-Break via a Internet através de um web browser, monitorar o status e enviar alertas por e-mail.",simple,"[{'page_label': '5', 'file_name': 'catalogo-dominion-sp1-1.pdf', 'file_path': 'c:\\Users\\jmess\\OneDrive\\Documentos\\GitHub\\rag_eval\\data\\catalogo-dominion-sp1-1.pdf', 'file_type': 'application/pdf', 'file_size': 9735399, 'creation_date': '2024-10-09', 'last_modified_date': '2024-10-09'}]",True
5,Qual é a função da corrente contínua no processo de conversão de energia elétrica?,"['Retificador\nConverte a ener gia da r ede elétrica da \nconcessionária ou do g rupo gerador em \ncorrente contínua, corrig indo ou eliminando \ndistúr bios da entrada do sistema .Inversor\nConverte a corr ente contínua do r etificador \nou das baterias em corr ente alternada de \nsaída, com f orma de onda senoidal pura, \nlivre de distúr bios .Bypass Estático *\nSistema de pr oteção que , em caso de pr oblemas , \ntransf ere automaticamente a car ga para um cir cuito \nalternativo , sem interrupção no f ornecimento de ener gia. \nSaída Rede Elétric a\nde Entr ada\nCorr ente Alternada de Entrada Corrente Alternada de Saída Corr ente Contínua Corrente Alternada Bypass Estático \nOSD  N LI A NM EO AC R EM SCISO\n90012015\nAv. Eng . Alber to de Zagottis , 760 - 04675-085 -  São P aulo - SP\nTel.: (11) 5696-5000  \nwww.cmcomandos .com.brESTABILIZADOR ELETRÔNIC O PERFECTION MI S2\nSaída\nTensão:  \n• 110 V ( standar d )\n    • 220 V ( standar d )\n    • 110 +110 V ( standar d )\nPotências Disponív eis:  \n   \n    •2 kV A \n  \n    •3 kV A \n   \n    •5 kV A \n   \n    •7,5 kV A\n   \n    •10 kV A\n   \n    •15 kV A \nRegulação Estática:   ±1% nominal\nTempo de Resposta:  0\n Freqüência:  50 ou 60 H z \nVariação de F reqüência:  ±0,05%\nConfigur ação:  monofásica   F + N + T ou F + F + T\nForma de Onda:   senoidal\nDistorção Harmônica THD:  inferior a 1%, total\nFator de Crista:  3:1\nFator de P otência:  0,7\nCapacidade de Sobr ecar ga:  125% durante25s\nProteção de C urto-Cir cuito:   Simn   \n    \nn   \n \nn   \nn   \nn  \nn    \nn   \nn   \nn   \nn   \nn   \nn   \nn   \nn   Corrente de C urto-Cir cuito:   2 x I nominalProteções Elétricas\nSub e Sobr e Tensão de Entrada e Saída \nSobr ecar ga e C urto-Circuito\nSobr e Temperaturan   \nn   \nn   Bypass Estátic o*\nAcionamento:  automático contr olado pelo DSP\nTempo de Transf erência:  0 milissegundos ( nulo)\nRetr ansf erência ao Modo Normal:  automátican   \nn   \nn  Entr ada\nTensão:  \n  \n    •Biv olt 110 e 220 V ( automático ) 2 e 3kV A\n  \n    •220V ( standar d ) 5 a 15 kV A\n  \n    •110 V ( Opicional )\n \nVariação A dmissív el: ± 20% da tensão nominal\nFreqüência:  50 ou 60 H z \n \nVariação de F']",A resposta à pergunta dada não está presente no contexto,simple,"[{'page_label': '2', 'file_name': 'catalogo-perfection-mi-s2-1.pdf', 'file_path': 'c:\\Users\\jmess\\OneDrive\\Documentos\\GitHub\\rag_eval\\data\\catalogo-perfection-mi-s2-1.pdf', 'file_type': 'application/pdf', 'file_size': 1722179, 'creation_date': '2024-10-09', 'last_modified_date': '2024-10-09'}]",True
6,Qual é a faixa de umidade relativa recomendada para o funcionamento do equipamento?,"['or\n       » Freqüência da Rede Fora de Faixa\n       » Falha Interna    \nCaracterísticas de operação\nn Ruído Audível: 55 dBA a 60 dBA a 1 metro\nn MTBF (Mean Time Between Failures): 50 mil horas   \nn MTTR (Mean Time To Repair): 30 minutos\nn Temperatura ambiente:\n   • No-Break: 0ºC a 40ºC \n   • Baterias: 0ºC a 30ºC\n   • Recomendada: 20ºC a 25ºC\nn Umidade Relativa:\n  • 0% a 95% sem condensação\n  • Recomendada: 45% a 55%\nn Atitude: até 1.000m\nn Tipo de Ambiente Recomendado:\n  • Interno, instalação abrigada\n  • Atmosfera: limpa, livre de partículas condutivas, \ngases tóxicos, líquidos e inflamáveis.\n  • Grau de Proteção: IP-20\nSoftware IP Power *\nn Conexão Remota via Adaptador SNMP NetMate\nn Registro de Eventos\nn Shutdown Automático\nn Envio de Alarmes por e-mail\nn Medições:\n     » Potência de Saída em %\n     » Tensão de Saída\n     » Tensão de Bateria\n     » Tensão de Entrada\n     » Freqüência de Entrada\nCaracterísticas Físicas e Mecânicas \nn Dimensões Compactas\nn Estrutura do Gabinete:\n  • Rack: metálico, monobloco\n  • Acabamento: pintura epóxi-pó na cor grafite\ncom tratamento térmico e anti-corrosivo\nn Transformador Isolador: com blindagem\neletrostática*\nn Porta de Comunicação:\n•Serial RS232C Isolada Full Duplex -DB9 Fêmea\n•Contato Seco DB9 Fêmea Interfaces de Gerenciamento\nn Mono e multi-usuário, client-server e\nmultiservidores \nn Vários servidores em um único No-Break\nn Ferramentas de Shutdown e Gerenciamento\nn  Protocolos:\n    • Serial Rs232\n    • Serial Rs485*\n    • SNMP / Telnet / http / TCP/IP*\nn Softwares de Gerenciamento*\n    • IP Power e IP Power SE Client\n    • Adaptador SNMP NetMate\n    • Adaptador ArmModbus RS485.\nn Ambientes e Sistemas Operacionais\n   • Windows 10 /7/2010\n   • Linux\n(Marcas dos respectivos fabricantes) \n*opcional\nCM MKT  JAN 24 - *As especificações  técnicas estão sujeitas a alterações sem aviso prévio e conforme necessidades de projetos customizados.                 Nós incentivamos a reciclagem.\nAv. Eng. Alberto de Zagottis , 760 - 04675-085 - São Paulo - SP\nTel.:(11) 5696-5000\nwww.cmcomandos.com.brSistema de \nSustentabilidade Auditada  Modelo Peso\n (com baterias)\nkg Dimensões Físicas \nalt x larg x prof \nmm Potência \nkVA\n 2000          2,0         620 x 200 x 600         70Modelo com baterias \n 3000          3,0         620 x 200 x 600       ']",A faixa de umidade relativa recomendada para o funcionamento do equipamento é de 45% a 55%.,simple,"[{'page_label': '2', 'file_name': 'catalogo-solution-s2-1.pdf', 'file_path': 'c:\\Users\\jmess\\OneDrive\\Documentos\\GitHub\\rag_eval\\data\\catalogo-solution-s2-1.pdf', 'file_type': 'application/pdf', 'file_size': 700438, 'creation_date': '2024-10-09', 'last_modified_date': '2024-10-09'}]",True
7,Qual é a função do Bypass Estático em um sistema de proteção elétrica?,"['Retificador\nConverte a ener gia da r ede elétrica da \nconcessionária ou do g rupo gerador em \ncorrente contínua, corrig indo ou eliminando \ndistúr bios da entrada do sistema .Inversor\nConverte a corr ente contínua do r etificador \nou das baterias em corr ente alternada de \nsaída, com f orma de onda senoidal pura, \nlivre de distúr bios .Bypass Estático *\nSistema de pr oteção que , em caso de pr oblemas , \ntransf ere automaticamente a car ga para um cir cuito \nalternativo , sem interrupção no f ornecimento de ener gia. \nSaída Rede Elétric a\nde Entr ada\nCorr ente Alternada de Entrada Corrente Alternada de Saída Corr ente Contínua Corrente Alternada Bypass Estático \nOSD  N LI A NM EO AC R EM SCISO\n90012015\nAv. Eng . Alber to de Zagottis , 760 - 04675-085 -  São P aulo - SP\nTel.: (11) 5696-5000  \nwww.cmcomandos .com.brESTABILIZADOR ELETRÔNIC O PERFECTION MI S2\nSaída\nTensão:  \n• 110 V ( standar d )\n    • 220 V ( standar d )\n    • 110 +110 V ( standar d )\nPotências Disponív eis:  \n   \n    •2 kV A \n  \n    •3 kV A \n   \n    •5 kV A \n   \n    •7,5 kV A\n   \n    •10 kV A\n   \n    •15 kV A \nRegulação Estática:   ±1% nominal\nTempo de Resposta:  0\n Freqüência:  50 ou 60 H z \nVariação de F reqüência:  ±0,05%\nConfigur ação:  monofásica   F + N + T ou F + F + T\nForma de Onda:   senoidal\nDistorção Harmônica THD:  inferior a 1%, total\nFator de Crista:  3:1\nFator de P otência:  0,7\nCapacidade de Sobr ecar ga:  125% durante25s\nProteção de C urto-Cir cuito:   Simn   \n    \nn   \n \nn   \nn   \nn  \nn    \nn   \nn   \nn   \nn   \nn   \nn   \nn   \nn   Corrente de C urto-Cir cuito:   2 x I nominalProteções Elétricas\nSub e Sobr e Tensão de Entrada e Saída \nSobr ecar ga e C urto-Circuito\nSobr e Temperaturan   \nn   \nn   Bypass Estátic o*\nAcionamento:  automático contr olado pelo DSP\nTempo de Transf erência:  0 milissegundos ( nulo)\nRetr ansf erência ao Modo Normal:  automátican   \nn   \nn  Entr ada\nTensão:  \n  \n    •Biv olt 110 e 220 V ( automático ) 2 e 3kV A\n  \n    •220V ( standar d ) 5 a 15 kV A\n  \n    •110 V ( Opicional )\n \nVariação A dmissív el: ± 20% da tensão nominal\nFreqüência:  50 ou 60 H z \n \nVariação de F']","O Bypass Estático é um sistema de proteção que, em caso de problemas, transfere automaticamente a carga para um circuito alternativo, sem interrupção no fornecimento de energia.",simple,"[{'page_label': '2', 'file_name': 'catalogo-perfection-mi-s2-1.pdf', 'file_path': 'c:\\Users\\jmess\\OneDrive\\Documentos\\GitHub\\rag_eval\\data\\catalogo-perfection-mi-s2-1.pdf', 'file_type': 'application/pdf', 'file_size': 1722179, 'creation_date': '2024-10-09', 'last_modified_date': '2024-10-09'}]",True
8,Qual é a faixa de temperatura ambiente recomendada para o funcionamento do No-Break?,"['   »  Mensagem por e-mail, celular ou pop-up:\n       - Operação Normal\n       - Falha de Rede \n       - Pré-alarme de Baterias\n       - Bypass Estático ativo\n       - Bypass Manual ativo\n       - Sobrecarga de Saída\n       - Falha Interna\nLog de Eventos\nn  Registros Armazenados:\n    •    5 mil registros em memória interna\n    •    Indicação de data, hora e ocorrência \n    •    Medições  \n    •    Status de operação e alarmes do painel \nCaracterísticas de operação\nn Ruído Audível: 55 dBA a 60 dBA a 1 metro\nn MTBF (Mean Time Between Failures): 250 mil horas   \nn MTTR (Mean Time To Repair): 30 minutos\nn Temperatura ambiente:\n   • No-Break: 20ºC a 40ºC \n   • Baterias: 0ºC a 30ºC\n   • Recomendada: 20ºC a 25ºC\nn Umidade Relativa:\n  • 0% a 95% sem condensação\n  • Recomendada: 45% a 55%\nn Atitude: até 1.000m\nn Tipo de Ambiente Recomendado:\n  • Interno, instalação abrigada\n  • Atmosfera: limpa, livre de partículas condutivas, \ngases tóxicos, líquidos e inﬂ  amáveis.\n  • Grau de Proteção: IP-20\nCaracterísticas Físicas e Mecânicas \nn Dimensões Compactas\nn Display LCD - cristal líquido retro-iluminado\nn Estrutura do Gabinete:\n  • Rack: metálico\n  • Acabamento: pintura epóxi-pó na cor graﬁ  te\ncom tratamento térmico e anti-corrosivo\n  • Ventilação: forçada, com controle digital de\nvelocidade pelo DSP  \n  • Porta de Comunicação:\n    » Serial RS232C IsoladaInterfaces de Gerenciamento\nn Mono e multi-usuário, client-server e\nmultiservidores \nn Ferramentas de Shutdown e Gerenciamento\nn  Protocolos:\n    • Serial Rs232\n    • Serial Rs485*\n    • Modbus*\n    • SNMP / Telnet / http / TCP/IP*\nn Softwares de Gerenciamento*\n    • Adaptador SNMP* V1, V2, V3.\nn Ambientes e Sistemas Operacionais\n   • Windows 10  \n   • Linux\n(Marcas dos respectivos fabricantes)\nCM MKT  JAN 24 - *As especiﬁ  cações  técnicas estão sujeitas a alterações sem aviso prévio e conforme necessidades de projetos customizados.                 Nós incentivamos a reciclagem.\nCM MKT  JAN 24 - *As especiﬁ  cações  técnicas estão sujeitas a alterações sem aviso prévio e conforme necessidades de projetos customizados.                 Nós incentivamos a reciclagem.\nAv. Eng. Alberto de Zagottis , 760 - 04675-085 - São Paulo - SP\nTel.:(11) 5696-5000\nwww.cmcomandos.com.brSistema de \nSustentabilidade AuditadaModel']",A faixa de temperatura ambiente recomendada para o funcionamento do No-Break é de 20ºC a 25ºC.,simple,"[{'page_label': '6', 'file_name': 'composition-modular-jun-24.pdf', 'file_path': 'c:\\Users\\jmess\\OneDrive\\Documentos\\GitHub\\rag_eval\\data\\composition-modular-jun-24.pdf', 'file_type': 'application/pdf', 'file_size': 4499853, 'creation_date': '2024-10-09', 'last_modified_date': '2024-10-09'}]",True
9,Qual é a função do registro permanente no sistema DSP?,"['REGISTRO PERMANENTE\nDE E VENT OSCORREÇÃO DO  F ATOR DE*POTÊNCIA\nO DSP ar maz ena os ev entos em sua memór ia EEPR OM. \nFunciona como uma “caixa-pr eta”, sendo possív el rastr ear os \nvalor es das medições e a posição das cha ves int ernas, \ndenunciando ev entuais er ros de operação .Conhecido pela sigla PFC - P ower Factor Correction, est e \nsistema per mite que o F ator de P otência de Entrada do \nNo-Break seja 0.99 - cor rigindo os ef eitos das car gas não \nlinear es e har mônicas conec tadas na saída do No -Break.-INTERF ACES DE GERENCIAMENT O\nREMO TO\nSão compostas por div ersas f erramentas . O A daptador SNMP NetM ate \npermite ger enciar r emotament e o No -Break via a I nternet atra vés de \num w eb br owser , monit orar o status e en viar aler tas por e -mail . \nO sof tware IP P ower é uma f erramenta de ger enciament o  Windows \nApplication e a v ersão Client é específica para  aut omatizar o shut down \nde ser vidor es, podendo desligar aut omática e simultaneament e vár ios \nservidor es e estações . \nO Adaptador Ar mModbus per mite int egrar o No -Break, via um\nRS485, a Sist emas de A utomação P redial atra vés do pr otocolo M odbus .a por ta INTERF ACES  DE  SHUTDO WN  \nE GERENCIAMENT O  REMO TO\nPorta M icroprocessada DB9A   Inter face de Ger enciamento Remoto \n  \nB   Adaptador SNMP\n     \nMultisser vidor es\nMultiplataf ormas\nMulti-S.O .C   Client Shutdown\nD  Estação Remota\n     Sof tware com \n     conexão à I nter net\nRede Ethernet RJ45']","O registro permanente no sistema DSP armazena os eventos em sua memória EEPR OM, funcionando como uma ""caixa-preta"", permitindo rastrear os valores das medições e a posição das chaves internas, denunciando eventuais erros de operação.",simple,"[{'page_label': '5', 'file_name': 'catalogo-dominion-sp1-1.pdf', 'file_path': 'c:\\Users\\jmess\\OneDrive\\Documentos\\GitHub\\rag_eval\\data\\catalogo-dominion-sp1-1.pdf', 'file_type': 'application/pdf', 'file_size': 9735399, 'creation_date': '2024-10-09', 'last_modified_date': '2024-10-09'}]",True
