,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,"Aqui está uma pergunta que pode ser totalmente respondida a partir do contexto fornecido:

""Qual é o intervalo de variação admissível da frequência para os equipamentos de 3kVA, 6kVA e 10kVA?""

Essa pergunta é direta e precisa, baseada nas informações específicas sobre tensão, fator de potência, distorção harmônica THDi, saída, configuração e composição das baterias fornecidas no contexto.","['ESPECIFICAÇÕES TÉCNICAS \nEntrada\nn Tensão: \n    •  3kVA \n100/110/115/120/127 VAC 120V (standard) ou  \n200/208/220/230/240 VAC 220V (standard) \n    •  6kVA / 10kVA\n 200/208/220/230/240 VAC 220V (standard)\nn Variação Admissível:\n   •   3kVA \n55-150 VAC ou 110-300 VAC @ 50% de Carga\n80-150 VAC ou 160-300 VAC @ 100% de Carga\n   •   6kVA / 10kVA \n110-300 VAC @ 50% de Carga\n176-300 VAC @ 100% de Carga \nn Freqüência: 50/60 Hz                           \nn Variação de Freqüência Admissível:   \n    •    3kVA  \n40-70Hz\n    •    6kVA / 10 kVA \n46-54Hz @50Hz e 56-64Hz @60Hz\nn  Configuração:\nMonofásica \nn Fator de Potência:\n≥ 0.99 Tensão nominal (100% de Carga)\nn Distorção Harmônica THDi:\n    •    3kVA\n ≤ 5% @ Tensão de Entrada nominal\n    •    6kVA / 10kVA\n<4% @100% de Carga, <6% @50% de Carga\nSaída\nnTensão: \n    •   3kVA \n100/110/115/120/127 VAC 115V (standard) ou \n200/208/220/230/240 VAC 220V (standard) \n    •   6kVA / 10kVA \n200/208/220/230/240 VAC 220V (standard) \nn Fator de Potência:  1,0\nn Regulação Estática:   ± 1% nominal modo \nbateria\nn Freqüência:   50 / 60 Hz \nn Variação de Freqüência: \n± 0,1Hz em modo bateria\nn Sincronismo com a Rede:   Sim\nn Configuração:   \n Monofásica f+n+t \nn Forma de Onda:   Onda senoidal pura\nn Distorção Harmônica THD:  \n •   3kVA \n    ≤ 2% carga linear \n    ≤ 4% carga não-linear \n •   6kVA / 10kVA \n    ≤ 1% carga linear \n    ≤ 4% carga não-linearBaterias\nn  Composição:  \n    •    72  VDC - 3,0 kVA \n    •     240 VDC - 6,0 kVA \n    •     240 VDC - 10,0 kVA \nn  Sistema de Recarga: \ncontrolado, automático\nn Tempo de Recarga:  \n8 a 10 horas para 90% da carga\nn Tipo: \nseladas, isentas de manutenção\nn  Paralelismo Redundante (N+1) \n»  Disponível nas potências de 6 e 10kVA\nn By-pass estático (inteligente):  \nO termo inteligente aplica-se, visto que a linha \nComposition XV  possui desligamento da saída da \nchave estática em condições que, a tensão da rede \napresenta variações fora da faixa de trabalho, prote -\ngendo a carga contra sub ou sobre']","A variação admissível da frequência para os equipamentos de 3kVA é 40-70Hz; para os equipamentos de 6kVA e 10kVA, a variação admissível da frequência é 46-54Hz @50Hz e 56-64Hz @60Hz",simple,"[{'page_label': '2', 'file_name': 'catalogo-composition-s3-1.pdf', 'file_path': '/home/joaorura/rag/data/catalogo-composition-s3-1.pdf', 'file_type': 'application/pdf', 'file_size': 459262, 'creation_date': '2024-10-02', 'last_modified_date': '2024-10-02'}]",True
1,"Aqui está uma pergunta que pode ser completamente respondida a partir do contexto fornecido, usando o tópico ""Bateria Baixa"":

""Qual é a característica da bateria baixa em relação aos toques de alarme?","['\n» Bateria Baixa - um toque a cada 2 segundos\n» Sobrecarga - um toque a cada segundo\n» Falha - toque contínuoAlarmes\n\uf06e Controlados pelo processador \n\uf06e Alarmes Sonoros:\n\uf06e Sinalização:\n • Display LCD \n» Rede Presente\n» Modo Bateria \n» Nível Carga \n» Nível Bateria\n» Tensão de Entrada\n» Tensão de Saída\n» Sobrecarga \n» Bateria Baixa \n» Falha •\nBaterias: 0ºC a 30ºC\n• No-Break: 0ºC a 40ºC \n• Recomendada: 20ºC e 25ºC\nUmidade Relativa:\n• 0% a 90% sem condensação\n• Recomendada: 45% a 55%\n Altitude: até 2.000m\nTipo de Ambiente Recomendado:\n• Interno, instalação abrigada\n• Atmosfera: limpa, livre de partículas condutivas, \ngases tóxicos, líquidos e inflamáveis.\nGrau de Proteção: IP-20Proteções Elétricas\n\uf06e  Sobrecarga \n\uf06eDescarga Bateria Baixa\n\uf06e  Sobrecarga de Bateria\nCaracterísticas de Operação\n\uf06eRuído Audível: inferior a 45 dBA @ 1 metro\n\uf06e MTBF (Mean Time Between Failures): 55 mil horas\n\uf06e MTTR (Mean Time To Repair): 60 minutos\n\uf06e Temperatura Ambiente: \n\uf06e   \n\uf06e  \n\uf06e   \n\uf06e  \n* Opcional\nNós incentivamos a reciclagemMontagem Horizontal\nRack 19 PolVista Traseira Vista Frontal\nOSDN LI A NM EO AC REM SCISO\n9001\n2015\nAv. Eng. Alberto de Zagottis, 760 - 04675-085 -  São Paulo - SP\nTel.: (11) 5696-5000 \nwww.cmcomandos.com.brSistema de \nSustentabilidade AuditadoC A R A C T E R Í S T I C A S P R I N C I PA I S\nNo-Break Senoidal Microprocessado\nCompatível com todos os tipos de cargas sensíveis e aplicações \nmais exigentes.\nMontagem Torre ou Rack 19"" \nCompacto e no padrão 19 polegadas com altura 2U, pode ser \ninstalado em rack ou então na vertical, com apoios laterais \nfornecidos.\nDisplay LCD Cristal Líquido\nApresenta as informações de status de operação, medições e \nalarmes de forma intuitiva.\nEstabilizador Interno\nEm modo rede permite uma ampla faixa de variação admissível \nna entrada.\nAcesso Frontal de Baterias\nEm caso de substituição, este recurso permite fácil acesso para a \nmanutenção das baterias ( somente técnicos autorizados ). \nE S P E C I F I C A Ç Õ E S  T É C N I C A S\n\uf06e  \n\uf06e  \n\uf06e  \n\uf06e  \n\uf06e    \uf06e  \uf06e']",O alarme indica uma bateria baixa com um toque a cada 2 segundos,simple,"[{'page_label': '2', 'file_name': 'catalogo-creation-s2.pdf', 'file_path': '/home/joaorura/rag/data/catalogo-creation-s2.pdf', 'file_type': 'application/pdf', 'file_size': 1683099, 'creation_date': '2024-10-02', 'last_modified_date': '2024-10-02'}]",True
2,Qual é o propósito dos alarmes controlados pelo processador DSP?,"['n  \nn   \nn   \nn   \nn   \nn   \nn   \nn   \nn   \nn    \nn   \nn   \nn   \nn   \nn    \nn  \nn   \nn   ESPECIFICAÇÕES  TÉCNICAS\nCaracterísticas Físicas e Mecânicas\nDimensões Compac tas \nDisplay TFT 4,3"" Touch Scr een \nEstrutura  do G abinete: \n    \n    •Rack: metálico\n    \n    •Tampas laterais e super ior removív eis\n    \n    •Acabamento: pintura epó xi-pó na cor g rafite\n       com tratamento tér mico e anticor rosivo \nVentilação: f orçada , com contr ole dig ital de\n      velocidade  pelo DSP\nTransf ormador Isolador : com blindagem\n    eletr ostática\nInter faces de G erenciamento\nMono e multiusuár io, cliente -server, multi-ser ver\nVários ser vidor es em um único No -Break\nFerramentas de Shutdown e Ger enciamento\nProtocolos:\n   \n    •Serial RS232 \n    \n    •Serial RS485*\n    \n    •SNMP / Telnet / http / TCP/IP*\nSoftwares de Ger enciamento*\n   \n    •IP Power e IP P ower SE\n    \n    •Adaptador SNMP NetM ate \n    \n    •Adaptador Ar mModbus RS485\n    \n    •SiteP ro \nAmbientes e Sistemas Operacionais\n   \n    •Windows 8 / 10 / 2010 \n    \n    •Linux * \n       (Mar cas dos r espec tivos fabricantes)\n * Opcionaln\nn\nn\nn\nn\nn\nn\nn\nn\nn\nn\nn   \n   \n   \n   \n   \n   Porta de Comunicação: \n    \n    •Serial RS232C Isolada F ull Duplex -DB9 F êmea*\n   \n    •Contato Seco DB9 F êmea\n    \n    •Ether net RJ 45\n   \n   \n   \n   \n   \n   Medições\nTrue RMS\nPotência de Saída em kV A\nPotência de Saída em kW\nFator de P otência de Saída\nTensão de Saída\n Corrente de Saída\nFrequência de Saída\nTensão de Bater ia\nCorrente de Bater ia*\nFator de P otência de Entrada*\nTensão de Entrada\nCorrente de Entrada*\n Frequência de Entradan   \nn   \nn   \nn   \nn   \nn  \nn   \nn   \nn   \nn   \nn   \nn   \nn  \nAlarmes\nContr olados pelo pr ocessador DSP\nTipos de Alarmes:\n   \n    •Sonor os:\n       »  F alta de Rede: 1 toque a cada 4 s  \n       »  P ré-alar me das Bater ias: 1 toque por segundo  \n       »  F alha I nterna do No -Break:']","Os alarmes controlados pelo processador DSP servem para alertar em casos de problemas, como alta de rede ou pre-alarme das baterias, facilitando a identificáo e soluçó dos problemas.",simple,"[{'page_label': '6', 'file_name': 'conception-s1.pdf', 'file_path': '/home/joaorura/rag/data/conception-s1.pdf', 'file_type': 'application/pdf', 'file_size': 14547547, 'creation_date': '2024-10-02', 'last_modified_date': '2024-10-02'}]",True
3,Em que condições de umidade relativa o equipamento pode operar sem problemas?,"[' Acabamento: pintura epóxi-pó na cor preta\nn  Movimentação:  Autoportante\nn Transformador Isolador (blindagem eletroes -\ntática*)\nn  Porta de Comunicação: \n    •   USB e Serial RS - 232   Características de Operação\nn Ruído Audível:  inferior a 45 dBA @ 1 metro\nn  MTBF (Mean Time Between Failures): 55 mil \nhoras\nn  MTTR (Mean Time To Repair):  60 minutos\nn Temperatura Ambiente: \n    •    Baterias: 0ºC a 30ºC\n    •    No-Break: 0ºC a 40ºC \n    •    Recomendada: 20ºC e 25ºC\nn  Umidade Relativa:\n    •    0% a 90% sem condensação\n    •    Recomendada: 45% a 55%\nn  Altitude: até 2.000m\nn  Tipo de Ambiente Recomendado:\n    •    Interno, instalação abrigada\n    •    Atmosfera: limpa, livre de partículas conduti -\nvas, gases tóxicos, líquidos e inflamáveis.\nn  Grau de Proteção: IP-20\nInterface de Gerenciamento\nn Mono e multiusuário, cliente-server e multi -\n-server\nn  Vários servidores em um único No-Break\nn  Ferramentas de Shutdown e Gerenciamento\nn  Protocolos:\n    •    Serial RS232\n    •    Serial RS485*  \n    •    SNMP/Telnet/http/TCP/IP*\nn  Softwares de Gerenciamento*\n    •    View Power\n    •    View Power Pro \n    •    SNMP Web Manager \nn  Ambientes e Sistemas Operacionais: \n    •    Windows 8/ 10 / 2010  \n    •    View Power Pro \n    •    Linux*\n(Marcas dos respectivos fabricantes)\n*Opcional\nCM MKT AGO 24 - As especificações estão sujeitas a alterações sem prévio aviso.                   Nós incentivamos a reciclagem.\nAv. Eng. Alberto de Zagottis , 760 - 04675-085 - São Paulo - SP\nTel.:(11) 5696-5000\nwww.cmcomandos.com.brSistema de \nSustentabilidade Auditada  Modelo Peso (com \nbaterias)\nkg Dimensões Físicas \nalt x larg x prof \nmm Potência \nkVA\n1250         1,25         421 x 190 x 318       15,3          \n2000          2,0           421 x 190 x 319       15,3']","O equipamento pode operar sem problemas em uma variedade de condições de umidade relativa, desde 0% a 90% sem condensação e recomendada entre 45% a 55%",simple,"[{'page_label': '2', 'file_name': 'catalogo-mission-1.pdf', 'file_path': '/home/joaorura/rag/data/catalogo-mission-1.pdf', 'file_type': 'application/pdf', 'file_size': 280792, 'creation_date': '2024-10-02', 'last_modified_date': '2024-10-02'}]",True
4,Qual é o papel da Equalização Ativa no monitoramento de problemas típicos das baterias?,"['TECNOLOGIA  EQUALIZER\nEqualização A tiva Individual das Ba terias\n O módulo de bater ia ativ o regula individualmente a \ntensão de cada bater ia e as mantém homogêneas , \nelevando a sua durabilidade , capacidade e r esistência \ncontra cor rosão e sulfatação .\nEvita e pr otege c ontr a Ex cesso de C arga\nAtrav és da Equalização Ativa as bater ias são pr oteg idas \nindividualmente contra o ex cesso de car ga, pr evenindo -\nas contra exalação de gases , secagem do eletr ólito \ninter no e do aquecimento inter no em ex cesso .\nEvita e pr otege c ontr a Falta de C arga\nA Equalização Ativa individual das bater ias impede que \nas mesmas r ecebam menor tensão que dev eriam, \nevitando -se a sulfatação e a per da de capacidade .\nIndicador de P roblemas da Ba teria\nAtrav és da medição da Tensão , Impedância e \nTemperatura, o sistema monitora os pr oblemas típicos \ndas bater ias, tais como sulfatação , cor rosão , per da de \ngases , secagem do eletr ólito e aquecimento inter no.Elimina a Sulfa tação das Ba terias\nO pr oblema decor re dos car regador es e r etificador es de \nbater ias, que r egulam a tensão de flutuação ou \nequalização na tensão final das bater ias e não garantem \nque em algumas  bater ias elas r ecebam maior tensão e , \nem outras , menor tensão . Atrav és da Equalização Ativa, \nmantêm-se todas as bater ias com tensão equilibrada.\nProteção c ontr a contaminação de ba terias\nAtrav és da Equalização Ativa individual de cada bater ia, \nevitam-se danos de uma bater ia a outras bater ias \npróximas , o ef eito de contaminação , ou seja, uma bater ia \nruim danifica as boas .\nOtimização da capacidade das ba terias\nGraças à Equalização Ativa, o Equaliz er garante a plena \nrecar ga e a máxima otimização da bater ia.\nAler ta par a substituir ba terias\nAtrav és da análise da cur va de impedância, pode -se \nidentificar a tendência, já na fase inicial de instalação , se \nalguma bater ia está deter iorada ou simplesmente mais \nfraca do que as outras . Quanto antes ef etuar este \ndiag nóstico , melhor será para o r estante da vida útil das \ndemais bater ias.Alarmes de ba teria\nAtrav és do monitoramento dos parâmetr os-chav e das \nbater ias e medições de limites pr eestabelecidos , o \nsistema en via avisos de alar mes automaticamente aos \nadministrador es do sistema.\nManutenção à distância \nO Equaliz er melhora a qualidade do ser viço, fornecendo \nmonitoramento r emoto atrav és da I nternet, VPN ou \noutra r ede, para faz er download de dados em tempo \nreal e acesso ao histór ico da bater ia para análise . \nManutenção sem des']","Através da medição da Tensão, Impedância e Temperatura, o sistema monitora os próblemas típicos das baterias, tais como sulfatação, corrosão, perda de gases, secagem do eletrólito e aquecimento interno.",simple,"[{'page_label': '6', 'file_name': 'catalogo-sistema-equalizer.pdf', 'file_path': '/home/joaorura/rag/data/catalogo-sistema-equalizer.pdf', 'file_type': 'application/pdf', 'file_size': 18195787, 'creation_date': '2024-10-02', 'last_modified_date': '2024-10-02'}]",True
5,"Aqui está a pergunta completa:

""Qual é o valor máximo da tensão de saída mencionado nas características físicas e mecânicas do sistema?","['or\n       » Freqüência da Rede Fora de Faixa\n       » Falha Interna    \nCaracterísticas de operação\nn Ruído Audível: 55 dBA a 60 dBA a 1 metro\nn MTBF (Mean Time Between Failures): 50 mil horas   \nn MTTR (Mean Time To Repair): 30 minutos\nn Temperatura ambiente:\n   • No-Break: 0ºC a 40ºC \n   • Baterias: 0ºC a 30ºC\n   • Recomendada: 20ºC a 25ºC\nn Umidade Relativa:\n  • 0% a 95% sem condensação\n  • Recomendada: 45% a 55%\nn Atitude: até 1.000m\nn Tipo de Ambiente Recomendado:\n  • Interno, instalação abrigada\n  • Atmosfera: limpa, livre de partículas condutivas, \ngases tóxicos, líquidos e inflamáveis.\n  • Grau de Proteção: IP-20\nSoftware IP Power *\nn Conexão Remota via Adaptador SNMP NetMate\nn Registro de Eventos\nn Shutdown Automático\nn Envio de Alarmes por e-mail\nn Medições:\n     » Potência de Saída em %\n     » Tensão de Saída\n     » Tensão de Bateria\n     » Tensão de Entrada\n     » Freqüência de Entrada\nCaracterísticas Físicas e Mecânicas \nn Dimensões Compactas\nn Estrutura do Gabinete:\n  • Rack: metálico, monobloco\n  • Acabamento: pintura epóxi-pó na cor grafite\ncom tratamento térmico e anti-corrosivo\nn Transformador Isolador: com blindagem\neletrostática*\nn Porta de Comunicação:\n•Serial RS232C Isolada Full Duplex -DB9 Fêmea\n•Contato Seco DB9 Fêmea Interfaces de Gerenciamento\nn Mono e multi-usuário, client-server e\nmultiservidores \nn Vários servidores em um único No-Break\nn Ferramentas de Shutdown e Gerenciamento\nn  Protocolos:\n    • Serial Rs232\n    • Serial Rs485*\n    • SNMP / Telnet / http / TCP/IP*\nn Softwares de Gerenciamento*\n    • IP Power e IP Power SE Client\n    • Adaptador SNMP NetMate\n    • Adaptador ArmModbus RS485.\nn Ambientes e Sistemas Operacionais\n   • Windows 10 /7/2010\n   • Linux\n(Marcas dos respectivos fabricantes) \n*opcional\nCM MKT  JAN 24 - *As especificações  técnicas estão sujeitas a alterações sem aviso prévio e conforme necessidades de projetos customizados.                 Nós incentivamos a reciclagem.\nAv. Eng. Alberto de Zagottis , 760 - 04675-085 - São Paulo - SP\nTel.:(11) 5696-5000\nwww.cmcomandos.com.brSistema de \nSustentabilidade Auditada  Modelo Peso\n (com baterias)\nkg Dimensões Físicas \nalt x larg x prof \nmm Potência \nkVA\n 2000          2,0         620 x 200 x 600         70Modelo com baterias \n 3000          3,0         620 x 200 x 600       ']",A resposta à pergunta dada não está presente no contexto,simple,"[{'page_label': '2', 'file_name': 'catalogo-solution-s2-1.pdf', 'file_path': '/home/joaorura/rag/data/catalogo-solution-s2-1.pdf', 'file_type': 'application/pdf', 'file_size': 700438, 'creation_date': '2024-10-02', 'last_modified_date': '2024-10-02'}]",True
6,Quais são os tipos de medições que podem ser feitas com o recurso True RMS?,"['      »  Display de Cr istal Líquido\n       »  Sof tware IP P ower via TCP/IP*\n       »  M ensagem por e -mail*:\n           -  Operação Nor mal\n           -  F alha de Rede\n           -  P ré-alar me de Bater ias\n           -  B ypass Estático \n           -  B ypass M anual \n           -  Sobr ecar ga de Saída\n           -  F alha I nterna n   \nn   \n   Log de E ventos\nRegistr os Armaz enados:\n    •Reg istro em memór ia EEPR OM\n    \n    •Indicação de data, hora e ocor rência\n    \n    •Medições\n    \n    •Status de operação e alar mes do painel\n   \n    •Status chav es inter nasn   \n   \nProteção Elétricas  \nn  \nn     \nn     \nn      Sub e Sobr etensão de Entrada e Saída  \nSub e Sobr etensão DC e Bater ia\nSobr ecar ga e C urto-Circuito\nMínima Descar ga de Bater ia\nMedições\nTrue RMS\nPotência de Saída em kV A\nPotência de Saída em kW\nFator de P otência de Saída\nTensão de Saída\nCorrente de Saída\nFrequências de Saída\nTensão de Bater ia\nTensão de Entrada\nFrequência de Entradan   \nn   \nn   \nn   \nn   \nn   \nn   \nn   \nn   \nn   Características Físicas e Mecânicas\nDimensões Compac tas \nDisplay : LCD - cr istal líquido r etroiluminado\nEstrutura do G abinete: \n    •Rack: metálico \n    \n    •Painel F rontal: em ABS de alta r esistência \n    \n    •Tampas laterais e super ior removív eis \n    \n    •Acabamento: pintura epó xi-pó na cor g rafite\n       com tratamento tér mico e anticor rosivo \n Movimentação: por r odízios autossustentáv eis\nRodízios com travas*\nTransf ormador Isolador (blindagem eletr ostática*)\n Porta de Comunicação\n    \n    •Serial RS232C Isolada F ull Duplex -DB9 F êmea\n   \n    •Contato Seco DB9 F êmea\nMono e multiusuár io, cliente -server e multi-ser vern   \nn   \nn   \nn    \nn    \nn    \nn    \nn   \nn   \nn   \nn   \nn   \nn       \nInter faces de G erenciamento\nVários ser vidor es em um único No -Break\nFerramentas de Shutdown e Ger enciamento\nProtocolos:\n    •Ser ial RS232 \n    \n    •Serial RS485*\n']",A resposta à pergunta dada não está presente no contexto,simple,"[{'page_label': '6', 'file_name': 'catalogo-dominion-sp1-1.pdf', 'file_path': '/home/joaorura/rag/data/catalogo-dominion-sp1-1.pdf', 'file_type': 'application/pdf', 'file_size': 9735399, 'creation_date': '2024-10-02', 'last_modified_date': '2024-10-02'}]",True
7,"Aqui está uma pergunta que pode ser totalmente respondida a partir do contexto fornecido:

""Precisamente quais são as características principais dos No-Break Composition trifásico?","['No-Break Composition XI\nTrifásico Modular  25 kW  30 kW  50 kW\nOs No-Breaks Composition trifásico são modulares, on line de dupla conversão e possuem rack na largura padrão informática, integrando-se \nao seu data center.  Cada módulo possui a tecnologia hotswap, que permite a substituição sem a necessidade de  paralisar todo o sistema. \nPossuem também alta conﬁ  abilidade e são disponíveis em diversos modelos e capacidades, permitindo  sua expansão escalonada confor-\nme suas necessidades.\nCARACTERÍSTICAS PRINCIPAIS \n• Topologia Online de Dupla Conversão\n• Controle DSP - Processador Digital de Sinais\n• Retiﬁ  cador e Inversor a IGBT\n• Alto Fator de Potência de Entrada (Power Factor Correction)\n• Bypass estático, automático e manual*\n• Gerenciamento Avançado de Baterias\n• Fácil Manutenção - Módulos Hot Swap\n• Set de Baterias Conﬁ  gurável (conforme modelo e capacidades)\n• Design Modular Rack Padrão informática\n• Escalável e Modular\n• Ampla Faixa de Tensão Admissível de Entrada\n• Compatível com Grupo Gerador\n• Software de Gerenciamento Remoto RS232*\n• Slot Adaptador SNMP , Contato Seco e Modbus*\n• Paralelismo Redundante dos RacksDISPLAY LCD CENTRAL DE ATÉ 10,4’’  \nTOUCH SCREEN E DISPLAY\nINDIVIDUAL POR MÓDULO RACK NO-BREAK MODULAR COM BYPASS*\n']","As principais características dos No-Break Composition trifásico incluem topologia online de dupla conversão, controle DSP - processador digital de sinais, reator e inversor a IGBT, alto fator de potência de entrada (Power Factor Correction), bypass estático, automático e manual, gerenciamento avançado de baterias, fácil manutenção - módulos hot swap, set de baterias configurável (conforme modelo e capacidades), design modular rack padrão informática, escalonável e modular, ampla faixa de tensão admissível de entrada, compatível com grupo gerador, software de gerenciamento remoto RS232*, slot adaptador SNMP, contato seco e Modbus*. ",simple,"[{'page_label': '4', 'file_name': 'composition-modular-jun-24.pdf', 'file_path': '/home/joaorura/rag/data/composition-modular-jun-24.pdf', 'file_type': 'application/pdf', 'file_size': 4499853, 'creation_date': '2024-10-02', 'last_modified_date': '2024-10-02'}]",True
8,Qual ferramenta o software de configuração e diagnóstico utiliza para se comunicar?,"[' •  Últimos 15 ev entos de configuração \n   •  M emór ia total: últimos 510 ev entos \n    \n   •Autonomia de 5 anos com equipamento desligadon\nn\nCaracterísticas de Oper ação\n  Ruído A udív el: 60 dBA a 1 metr o\n MTBF (M ean Time Bet ween F ailur es): 100 mil horas\nMTTR (M ean Time To Repair): 30 minutos\n Temperatura Ambiente: \n    \n    •Recomendada:  20ºC a 25ºCn \nn\nn\nn\nn\nn \nn\nnUmidade Relativa:\n    \n    •Recomendada: 45% a 55%\n  Altitude: até 1.000m\n Tipo de Ambiente Recomendado:\n    \n    •Interno, instalação abr igada\n   \n    •Atmosf era: limpa, livr e de par tículas condutivas , \n      gases tó xicos , líquidos e inflamáv eis.\n  Grau de P roteção: IP -20\nInter face de C omunicação\n  Acesso ex clusiv o para manutenção\n  Software de Configuração e Diag nóstico da \nAssistência Técnica\n  Porta de Comunicação Ser ial RS232C \nIsolada F ull Duplex -DB9 F êmea\n Protocolo Ser ial RS232n\nn\nn\nn\nn  Alarmes\n Contr olados pelo pr ocessador DSP\n Tipos de Alarmes:\n   \n    •Sonor os:\n       »  Subtensão:   toque contínuo\n       »  Sobr etensão: toque contínuon \nn  600.000 600,0 1835 x 1444  x 1555  1150\n700.000 700,0 1835 x 1444  x 1555  2000\n800.000 800,0 1835 x 1444  x 1555  2050  10.000   10,0   900 x 360  x  860       135\n  15.000   15,0   900 x 360  x  860       140\n  20.000   20,0   900 x 360  x  860       175\n30.000   30,0 1300 x 360  x  988       260\n40.000   40,0 1300 x 360  x  988      275\n50.000   50,0 1300 x 360  x  988      330\n75.000   75,0 1532 x 540  x 1070      445\n100.000 100,0 1532 x 540  x 1070      545\n150.000 150,0 1532 x 720  x 1070      750\n200.000 200,0 1532 x 720  x 1070      790\n250.000 250,0 1835 x 1444  x 1555    950\n300.000 300,0 1835 x 1444  x 1555   1000\n400.000 400,0 1835 x 1444  x 1555   1050\n500.000 500,0 1835 x 1444  x 1555   1100Modelo Potência\nkVAAlt x Larg x P rof Peso\nmmkg\nLinha T - Trifásic o sem Tr afo\n600.000  600,0  1835 x 905  x 1555      575\n700.000  700,0  1835 x 905  x 1555      625\n800.000  800,0  1835 x 905  x 1555      675  10.000    10,0     900 x 360  x  860      102\n  15.000    15,']",O software de configuração e diagnóstico utiliza a porta de comunicação serial RS232C isolada full duplex - DB9 Fêmea para se comunicar,simple,"[{'page_label': '6', 'file_name': 'catalogo-perfection-sp.pdf', 'file_path': '/home/joaorura/rag/data/catalogo-perfection-sp.pdf', 'file_type': 'application/pdf', 'file_size': 4243300, 'creation_date': '2024-10-02', 'last_modified_date': '2024-10-02'}]",True
9,Qual é a tensão da saída da rede elétrica?,"['Retificador\nConverte a ener gia da r ede elétrica da \nconcessionária ou do g rupo gerador em \ncorrente contínua, corrig indo ou eliminando \ndistúr bios da entrada do sistema .Inversor\nConverte a corr ente contínua do r etificador \nou das baterias em corr ente alternada de \nsaída, com f orma de onda senoidal pura, \nlivre de distúr bios .Bypass Estático *\nSistema de pr oteção que , em caso de pr oblemas , \ntransf ere automaticamente a car ga para um cir cuito \nalternativo , sem interrupção no f ornecimento de ener gia. \nSaída Rede Elétric a\nde Entr ada\nCorr ente Alternada de Entrada Corrente Alternada de Saída Corr ente Contínua Corrente Alternada Bypass Estático \nOSD  N LI A NM EO AC R EM SCISO\n90012015\nAv. Eng . Alber to de Zagottis , 760 - 04675-085 -  São P aulo - SP\nTel.: (11) 5696-5000  \nwww.cmcomandos .com.brESTABILIZADOR ELETRÔNIC O PERFECTION MI S2\nSaída\nTensão:  \n• 110 V ( standar d )\n    • 220 V ( standar d )\n    • 110 +110 V ( standar d )\nPotências Disponív eis:  \n   \n    •2 kV A \n  \n    •3 kV A \n   \n    •5 kV A \n   \n    •7,5 kV A\n   \n    •10 kV A\n   \n    •15 kV A \nRegulação Estática:   ±1% nominal\nTempo de Resposta:  0\n Freqüência:  50 ou 60 H z \nVariação de F reqüência:  ±0,05%\nConfigur ação:  monofásica   F + N + T ou F + F + T\nForma de Onda:   senoidal\nDistorção Harmônica THD:  inferior a 1%, total\nFator de Crista:  3:1\nFator de P otência:  0,7\nCapacidade de Sobr ecar ga:  125% durante25s\nProteção de C urto-Cir cuito:   Simn   \n    \nn   \n \nn   \nn   \nn  \nn    \nn   \nn   \nn   \nn   \nn   \nn   \nn   \nn   Corrente de C urto-Cir cuito:   2 x I nominalProteções Elétricas\nSub e Sobr e Tensão de Entrada e Saída \nSobr ecar ga e C urto-Circuito\nSobr e Temperaturan   \nn   \nn   Bypass Estátic o*\nAcionamento:  automático contr olado pelo DSP\nTempo de Transf erência:  0 milissegundos ( nulo)\nRetr ansf erência ao Modo Normal:  automátican   \nn   \nn  Entr ada\nTensão:  \n  \n    •Biv olt 110 e 220 V ( automático ) 2 e 3kV A\n  \n    •220V ( standar d ) 5 a 15 kV A\n  \n    •110 V ( Opicional )\n \nVariação A dmissív el: ± 20% da tensão nominal\nFreqüência:  50 ou 60 H z \n \nVariação de F']","A tensão da saída da rede elétrica pode variar entre 110 V e 220 V, dependendo do padrão de corrente alternada utilizado.",simple,"[{'page_label': '2', 'file_name': 'catalogo-perfection-mi-s2-1.pdf', 'file_path': '/home/joaorura/rag/data/catalogo-perfection-mi-s2-1.pdf', 'file_type': 'application/pdf', 'file_size': 1722179, 'creation_date': '2024-10-02', 'last_modified_date': '2024-10-02'}]",True
